@relation compact_wind_onshore

@attribute date numeric
@attribute hour numeric
@attribute dayiness numeric
@attribute mean_TU_0 numeric
@attribute mean_TU_1 numeric
@attribute mean_N_0 numeric
@attribute mean_RR_0 numeric
@attribute mean_RR_1 numeric
@attribute mean_SD_0 numeric
@attribute mean_VV_0 numeric
@attribute mean_FF_0 numeric
@attribute mean_FF_1 numeric
@attribute wind_onshore numeric

@data
20220107,23,-0.97,0.732484,91.070064,7.134615,0.159873,0.522293,0,26560.25641,4.303846,208.076923,15544.25
20220108,0,-1,0.661783,90.878981,6.871795,0.164968,0.535032,0,27200.448718,4.135256,204.166667,14920.5
20220108,1,-0.97,0.566242,90.949045,6.820513,0.204459,0.509554,0,26811.730769,4.030769,202.371795,14151.25
20220108,2,-0.87,0.385987,91.547771,6.74359,0.238217,0.477707,0,24328.205128,3.808333,205.897436,13598.25
20220108,3,-0.71,0.236306,92.140127,6.49359,0.306369,0.509554,0,22495.25641,3.723077,209.038462,13451.5
20220108,4,-0.5,0.169427,92.235669,6.647436,0.261146,0.464968,0,23143.782051,3.658333,214.871795,12875.5
20220108,5,-0.26,0.147134,92.159236,6.916667,0.19172,0.490446,0,21687.115385,3.715385,212.435897,12894
20220108,6,-0,0.187261,92.050955,6.897436,0.161146,0.464968,0,21439.294872,3.712821,225.384615,12960.25
20220108,7,0.26,0.175796,92.038217,6.961538,0.138217,0.414013,0,19498.589744,3.912821,225.320513,13105
20220108,8,0.5,0.171338,91.681529,6.814103,0.117834,0.420382,0.348387,19480.064103,4.014744,230.641026,14221.25
20220108,9,0.71,0.403822,90.356688,6.948718,0.106369,0.471338,4.141935,21715.512821,4.022436,236.025641,14191
20220108,10,0.87,0.791083,88.541401,7.051282,0.076433,0.420382,10.43871,24931.602564,4.334839,232,13883.5
20220108,11,0.97,1.136306,86.802548,7,0.047134,0.401274,11.077419,28595.064103,4.650323,234.258065,13785.5
20220108,12,1,1.405096,84.866242,7.057692,0.045223,0.350318,12.251613,30587.051282,4.943226,232.645161,14298.75
20220108,13,0.97,1.571975,83.133758,7.019231,0.043949,0.292994,12.316129,34000.320513,5.112258,226.193548,16231.75
20220108,14,0.87,1.510191,82.564103,7.083871,0.032692,0.269231,10.825806,35922.129032,5.158065,220.709677,17628.5
20220108,15,0.71,1.172611,83.191083,6.651613,0.025,0.237179,6.729032,36245.25641,4.921935,212.645161,18846
20220108,16,0.5,0.801274,84.33121,6.852564,0.036943,0.267516,1.309677,35711.602564,4.676774,201.935484,21614.5
20220108,17,0.26,0.591083,84.955414,6.99359,0.029299,0.299363,0,33285.128205,4.657419,193.548387,24626.75
20220108,18,0,0.452229,85.484076,6.794872,0.026115,0.388535,0,32989.551282,4.892903,181.870968,27409.25
20220108,19,-0.26,0.478981,85.732484,6.99359,0.043312,0.407643,0,34263.333333,5.205161,175.741935,29567.75
20220108,20,-0.5,0.538217,85.528662,7.032051,0.049682,0.44586,0,34924.358974,5.310323,172.064516,30653
20220108,21,-0.71,0.596815,85.579618,7.314103,0.066879,0.452229,0,35667.820513,5.48129,168.451613,31579.25
20220108,22,-0.87,0.683439,85.280255,7.403846,0.126115,0.44586,0,35732.692308,5.590323,166.645161,31163
20220108,23,-0.97,0.735669,85.43949,7.487179,0.182803,0.509554,0,35574.102564,5.658065,161.225806,30914
20220109,0,-1,0.781529,86.019108,7.551282,0.246497,0.579618,0,32743.076923,5.672903,160.645161,30299.75
20220109,1,-0.97,0.877707,86.496815,7.467949,0.282166,0.598726,0,30791.794872,5.636774,163.354839,29074.75
20220109,2,-0.87,0.970701,87.318471,7.512821,0.310191,0.656051,0,29939.038462,5.627097,167.225806,27647.75
20220109,3,-0.71,1.07707,87.312102,7.423077,0.355414,0.66879,0,30543.974359,5.62,175.290323,26594.25
20220109,4,-0.5,1.155414,87.923567,7.397436,0.44586,0.738854,0,29984.423077,5.656774,181.741935,25280.75
20220109,5,-0.26,1.231847,87.980892,7.467949,0.421019,0.745223,0,29014.423077,5.60129,186.903226,24170.5
20220109,6,-0,1.282803,87.828025,7.606452,0.426115,0.770701,0,26694.230769,5.736774,192.903226,24728.25
20220109,7,0.26,1.284713,88.089172,7.589744,0.379618,0.808917,0,26125.576923,5.796129,198.129032,24656.25
